Estado,No cultivo,Cultivo,Tipo / Variedad,Superficie Sembrada (ha),Superficie Cosechada (ha),Superficie Siniestrada (ha),Unidad de medida,Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción  (miles de Pesos)
AGUASCALIENTES,1,ACEITUNA,Aceituna manzanilla,9,1,0,Tonelada,4,4,6800,27.2
AGUASCALIENTES,2,ACELGA,Acelga s/clasificar,6,6,0,Tonelada,117.39,19.57,2323.91,272.8
AGUASCALIENTES,3,AGUACATE,Aguacate criollo,19,19,0,Tonelada,207,10.89,17471.6,3616.62
AGUASCALIENTES,4,AJO,Ajo blanco,105,105,0,Tonelada,1128.4,10.75,16949.41,19125.72
AGUASCALIENTES,5,ALFALFA VERDE,Alfalfa verde s/clasificar,5664.01,5664.01,0,Tonelada,530890.95,93.73,635.36,337309.29
AGUASCALIENTES,6,AVENA FORRAJERA EN VERDE,Avena forrajera en verde s/clasificar,5407,5407,0,Tonelada,133869.95,24.76,566.33,75814.8
AGUASCALIENTES,7,BETABEL,Betabel s/clasificar,6,6,0,Tonelada,84.4,14.07,3189.28,269.17
AGUASCALIENTES,8,BRÓCOLI,Brócoli s/clasificar,665,665,0,Tonelada,11166.1,16.79,4219.18,47111.74
AGUASCALIENTES,9,CACAHUATE,Cacahuate s/clasificar,14,14,0,Tonelada,25.92,1.85,9111.23,236.16
AGUASCALIENTES,10,CALABACITA,Calabacita italiana (zucchini),144,144,0,Tonelada,3594.6,24.96,4107.27,14763.99
AGUASCALIENTES,11,CALABACITA,Calabacita italiana (zucchini) invernadero,2,2,0,Tonelada,42,21,3100,130.2
AGUASCALIENTES,12,CAMOTE,Camote s/clasificar,33,33,0,Tonelada,594,18,3100,1841.4
AGUASCALIENTES,13,CEBADA FORRAJERA EN VERDE,Cebada forrajera en verde s/clasificar,63,63,0,Tonelada,1750,27.78,559.56,979.23
AGUASCALIENTES,14,CEBOLLA,Cebolla blanca,356,356,0,Tonelada,10714.1,30.1,2713.09,29068.27
AGUASCALIENTES,15,CHÍA,Chía s/clasificar,110,110,0,Tonelada,55,0.5,20000,1100
AGUASCALIENTES,16,CHÍCHARO,Chícharo s/clasificar,25,25,0,Tonelada,123.5,4.94,3655.22,451.42
AGUASCALIENTES,17,CHILE SECO,Chile seco ancho,45,45,0,Tonelada,78.3,1.74,23227.94,1818.75
AGUASCALIENTES,18,CHILE VERDE,Chile verde guajillo,3,3,0,Tonelada,50,16.67,7800,390
AGUASCALIENTES,19,CHILE VERDE,Chile verde habanero invernadero,0.8,0.8,0,Tonelada,21,26.25,20000,420
AGUASCALIENTES,20,CHILE VERDE,Chile verde manzano invernadero,2.5,2.5,0,Tonelada,122,48.8,33619.67,4101.6
AGUASCALIENTES,21,CHILE VERDE,Chile verde morrón (bell pepper) invernadero,99.35,99.35,0,Tonelada,5027.5,50.6,9928.8,49917.02
AGUASCALIENTES,22,CHILE VERDE,Chile verde poblano,957,957,0,Tonelada,13739.6,14.36,3963.71,54459.84
AGUASCALIENTES,23,CHILE VERDE,Chile verde poblano invernadero,17.82,17.82,0,Tonelada,914.5,51.32,7953.8,7273.75
AGUASCALIENTES,24,CILANTRO,Cilantro s/clasificar,170.5,170.5,0,Tonelada,3503,20.55,2623.14,9188.86
AGUASCALIENTES,25,COL (REPOLLO),Col (repollo) blanca,253,253,0,Tonelada,9560.1,37.79,1352,12925.28
AGUASCALIENTES,26,COLIFLOR,Coliflor s/clasificar,256,256,0,Tonelada,8114.14,31.7,3009.97,24423.31
AGUASCALIENTES,27,DURAZNO,Durazno criollo,233,227,0,Tonelada,4239.2,18.67,13978.36,59257.06
AGUASCALIENTES,28,EJOTE,Ejote s/clasificar,65,65,0,Tonelada,693.6,10.67,3759.4,2607.52
AGUASCALIENTES,29,ELOTE,Elote s/clasificar,1210,1210,0,Tonelada,25988.82,21.48,1704.54,44298.91
AGUASCALIENTES,30,ESPÁRRAGO,Espárrago s/clasificar,26,26,0,Tonelada,129,4.96,45186.05,5829
AGUASCALIENTES,31,ESPINACA,Espinaca s/clasificar,113,113,0,Tonelada,2382.9,21.09,4277.74,10193.43
AGUASCALIENTES,32,FRESA,Fresa invernadero,1.82,1.82,0,Tonelada,34.66,19.04,11850,410.72
AGUASCALIENTES,33,FRESA,Fresa macro túnel,57,57,0,Tonelada,2938.5,51.55,12104.36,35568.65
AGUASCALIENTES,34,FRESA,Fresa s/clasificar,12,12,0,Tonelada,362.5,30.21,10530.93,3817.46
AGUASCALIENTES,35,FRIJOL,Frijol flor de mayo,8236,8236,0,Tonelada,4601.59,0.56,6922.9,31856.36
AGUASCALIENTES,36,GRANADA,Granada roja,3,0,0,Tonelada,0,0,0,0
AGUASCALIENTES,37,GUAYABA,Guayaba media china,5414.86,5333.86,0,Tonelada,74813,14.03,3717.32,278103.86
AGUASCALIENTES,38,GUAYABA,Guayaba media china exportación,854.5,854.5,0,Tonelada,12971.05,15.18,8732.4,113268.4
AGUASCALIENTES,39,KALE,Kale exportación,3,3,0,Tonelada,33.9,11.3,9200,311.88
AGUASCALIENTES,40,LECHUGA,Lechuga romana,1383,1383,0,Tonelada,51327.52,37.11,2108.2,108208.57
AGUASCALIENTES,41,LIMA,Lima s/clasificar,23.5,21.5,0,Tonelada,182.75,8.5,7265.29,1327.73
AGUASCALIENTES,42,LIMÓN,Limón agrio (mexicano),6,4,0,Tonelada,32,8,7678.13,245.7
AGUASCALIENTES,43,MAÍZ FORRAJERO EN VERDE,Maíz forrajero en verde s/clasificar,59647,59647,0,Tonelada,1433917.02,24.04,588.63,844042.32
AGUASCALIENTES,44,MAÍZ GRANO,Maíz grano blanco,39666,39666,0,Tonelada,76700.49,1.93,3644.56,279539.21
