Estado,No cultivo,Cultivo,Tipo / Variedad,Unidad de medida,Superficie Sembrada (ha),Superficie Cosechada (ha),Superficie Siniestrada (ha),Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción (miles de Pesos)
AGUASCALIENTES,1.00,Aceituna,Aceituna manzanilla,Tonelada,8.50,3.00,0.00,16.20,5.40,7267.90,117.74
AGUASCALIENTES,2.00,Acelga,Acelga s/clasificar,Tonelada,5.00,5.00,0.00,44.00,8.80,2559.09,112.60
AGUASCALIENTES,3.00,Aguacate,Aguacate criollo,Tonelada,28.50,25.00,0.00,292.00,11.68,14250.00,4161.00
AGUASCALIENTES,4.00,Ajo,Ajo blanco,Tonelada,195.00,194.00,1.00,2915.65,15.03,14870.38,43356.83
AGUASCALIENTES,5.00,Alfalfa,Alfalfa verde s/clasificar,Tonelada,5325.57,5325.57,0.00,523026.93,98.21,690.37,361079.66
AGUASCALIENTES,6.00,Avena forrajera en verde,Avena forrajera en verde s/clasificar,Tonelada,6441.00,6381.00,60.00,156259.54,24.49,575.94,89995.93
AGUASCALIENTES,7.00,Betabel,Betabel s/clasificar,Tonelada,5.00,5.00,0.00,79.05,15.81,3715.75,293.73
AGUASCALIENTES,8.00,Brócoli,Brócoli s/clasificar,Tonelada,832.00,832.00,0.00,14835.89,17.83,3882.02,57593.20
AGUASCALIENTES,9.00,Cacahuate,Cacahuate s/clasificar,Tonelada,3.00,3.00,0.00,8.50,2.83,12700.00,107.95
AGUASCALIENTES,10.00,Calabacita,Calabacita italiana (zucchini),Tonelada,45.00,45.00,0.00,1248.96,27.75,2728.15,3407.35
AGUASCALIENTES,11.00,Calabacita,Calabacita italiana (zucchini),Tonelada,157.00,152.00,5.00,3845.00,25.30,3884.56,14936.15
AGUASCALIENTES,12.00,Camote,Camote s/clasificar,Tonelada,1.00,1.00,0.00,23.10,23.10,3200.00,73.92
AGUASCALIENTES,13.00,Cebada forrajera en verde,Cebada forrajera en verde s/clasificar,Tonelada,35.00,35.00,0.00,945.00,27.00,575.71,544.05
AGUASCALIENTES,14.00,Cebolla,Cebolla blanca,Tonelada,367.00,362.00,5.00,12217.23,33.75,2640.26,32256.61
AGUASCALIENTES,15.00,Chícharo,Chícharo s/clasificar,Tonelada,31.00,31.00,0.00,327.40,10.56,3527.03,1154.75
AGUASCALIENTES,16.00,Chile verde,Chile verde hungaro (x-cat-ik),Tonelada,3.00,3.00,0.00,21.00,7.00,5500.00,115.50
AGUASCALIENTES,17.00,Chile verde,Chile seco ancho,Tonelada,54.00,54.00,0.00,156.80,2.90,31954.71,5010.50
AGUASCALIENTES,18.00,Chile verde,Chile verde poblano,Tonelada,666.00,666.00,0.00,12078.96,18.14,5969.47,72104.96
AGUASCALIENTES,19.00,Chile verde,Chile verde guajillo,Tonelada,156.00,156.00,0.00,3510.00,22.50,5061.91,17767.30
AGUASCALIENTES,20.00,Chile verde,Chile verde morrón (bell pepper),Tonelada,4.61,4.61,0.00,851.66,184.74,10829.22,9222.82
AGUASCALIENTES,21.00,Chile verde,Chile verde habanero,Tonelada,1.22,1.22,0.00,116.72,95.67,16024.48,1870.38
AGUASCALIENTES,22.00,Chile verde,Chile verde jalapeño,Tonelada,3.00,3.00,0.00,135.00,45.00,5111.11,690.00
AGUASCALIENTES,23.00,Cilantro,Cilantro s/clasificar,Tonelada,508.00,508.00,0.00,9166.00,18.04,2761.20,25309.16
AGUASCALIENTES,24.00,Col (repollo),Col (repollo) blanca,Tonelada,208.00,208.00,0.00,8530.00,41.01,2232.75,19045.39
AGUASCALIENTES,25.00,Coliflor,Coliflor s/clasificar,Tonelada,258.00,258.00,0.00,6954.17,26.95,3138.58,21826.20
AGUASCALIENTES,26.00,Durazno,Durazno criollo,Tonelada,369.90,313.40,0.00,6579.15,20.99,14348.85,94403.25
AGUASCALIENTES,27.00,Ejote,Ejote s/clasificar,Tonelada,72.00,72.00,0.00,911.70,12.66,3790.69,3455.97
AGUASCALIENTES,28.00,Elote,Elote s/clasificar,Tonelada,1659.00,1659.00,0.00,42560.90,25.65,2527.68,107580.34
AGUASCALIENTES,29.00,Espárrago,Espárrago s/clasificar,Tonelada,63.50,63.50,0.00,321.10,5.06,49429.11,15871.69
AGUASCALIENTES,30.00,Espinaca,Espinaca s/clasificar,Tonelada,83.00,83.00,0.00,1693.90,20.41,6090.88,10317.34
