Año,IdCiclo,Ciclo,Ciclo corto,Ciclo-Año,IdTecnologia,Tecnología,IdModalidad,Modalidad,IdEstado,Estado,IdZona,Zona,IdCultivo,Cultivo,IdEstatus,Estatus,Inicio de siembra,Fin de siembra,Inicio de cosecha,Fin de cosecha,Rendimiento pesimista,Rendimiento optimista,Rendimiento probable,Precio pesimista,Precio optimista,Precio probable,Ingreso probable,Subsidios,TotalFinanciable,TotalNoFinanciable,AportacionN1,AportacionN2,TasaN1,TasaN2,Fecha de termino del prestamo,InicioMinistracion1,FinMinistracion1,InicioMinistracion2,FinMinistracion2,InicioMinistracion3,FinMinistracion3,InicioMinistracion4,FinMinistracion4,Usuario que elabora,Usuario que autoriza,TotalCreditoMenorUDIS,TotalAportacionMenorUDIS,TotalInteresesMenorUDIS,TotalMenorUDIS,TotalCreditoMayorUDIS,TotalAportacionMayorUDIS,TotalInteresesMayorUDIS,TotalMayorUDIS,CostoTotal,UtilidadProbable,CostoUnitario,PuntoEquilibrio,TierraCompaVenta,RentaHA,RentaCiclo,Jornales,AvioInteres,CostoDirecto,IdCapitulo1,Capitulo1,SubTotalFinanciable1,SubTotalNoFinanciable1,Subtotal1,Jornales1,IdCapitulo2,Capitulo2,SubTotalFinanciable2,SubTotalNoFinanciable2,Subtotal2,Jornales2,IdCapitulo3,Capitulo3,SubTotalFinanciable3,SubTotalNoFinanciable3,Subtotal3,Jornales3,IdCapitulo4,Capitulo4,SubTotalFinanciable4,SubTotalNoFinanciable4,Subtotal4,Jornales4,IdCapitulo5,Capitulo5,SubTotalFinanciable5,SubTotalNoFinanciable5,Subtotal5,Jornales5,IdCapitulo6,Capitulo6,SubTotalFinanciable6,SubTotalNoFinanciable6,Subtotal6,Jornales6,IdCapitulo7,Capitulo7,SubTotalFinanciable7,SubTotalNoFinanciable7,Subtotal7,Jornales7,IdCapitulo8,Capitulo8,SubTotalFinanciable8,SubTotalNoFinanciable8,Subtotal8,Jornales8,IdCapitulo9,Capitulo9,SubTotalFinanciable9,SubTotalNoFinanciable9,Subtotal9,Jornales9
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,1,TEMPORAL-CRIOLLA-FERTILIZADA,1,TRADICIONAL,32,ZACATECAS,51,AGENCIAS DE ZACATECAS,112,FRIJOL,3,Autorizado,15/06/20,15/07/20,15/10/20,15/12/20,0.5,1.2,1,9000,12500,11000,11000,3500,6494.085487,930.5846154,0.2,0.2,0.16,0.14,28/02/21,01/01/20,31/05/20,01/06/20,30/09/20,01/10/20,30/11/20,,,Ricardo Sánchez González,Felipa de Jesús Monreal Flores,5190,1304.085487,642.6879002,8067.358003,5190,1304.085487,562.3519126,7987.022015,7987.022015,3012.977985,7987.022015,0.72609291,60000,2000,2000,2.9,0.522941083,0.590371408,1,PREPARACIÓN DEL TERRENO,1555.24,325.52,1880.76,0.625,2,SIEMBRA,551.5733333,61.76,613.3333333,0.125,3,FERTILIZACIÓN,710,0,710,0,4,LABORES CULTURALES,821.7021538,153.3046154,975.0067692,0.7,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1335.523333,54.8,1390.323333,0.125,7,"COSECHA, SELECCIÓN Y EMPAQUE",825.0466667,335.2,1160.246667,1.325,8,COMERCIALIZACIÓN,200,0,200,0,9,DIVERSOS,495,0,495,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,4,CAMPECHE,162,HOPELCHÉN,120,MAÍZ,3,Autorizado,01/07/20,31/07/20,01/12/20,31/01/21,3.5,6,4,4200,4600,4346,17384,0,11446.16,2339.444167,0.2,0.2,0.12,0.12,28/02/21,20/04/20,01/06/20,01/07/20,01/01/21,,,,,Raúl Puentes Dávila,David Álvarez Vázquez,9150,2296.16,884.6916587,14670.29583,9150,2296.16,884.6916587,14670.29583,14670.29583,2713.704175,3667.573956,3.375585786,40000,2000,2000,1.975,2.30894884,2.633722964,1,PREPARACIÓN DEL TERRENO,0,739.1666667,739.1666667,0.375,2,SIEMBRA,2653.875,191.25,2845.125,0.125,3,FERTILIZACIÓN,2625,0,2625,1,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2989.785,332.5275,3322.3125,0.225,7,"COSECHA, SELECCIÓN Y EMPAQUE",600.5,1076.5,1677,0.25,0,,0,0,0,0,9,DIVERSOS,2577,0,2577,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,4,CAMPECHE,162,HOPELCHÉN,146,SOYA,3,Autorizado,15/06/20,31/07/20,12/11/20,28/12/20,2.1,2.415,2.3,6270,7000,6600,15180,,13333.65,0,0.36,0.36,0.111,0.111,28/02/21,01/04/20,14/06/20,15/06/20,28/12/20,,,,,Guerson Aguirre Cabrales,David Álvarez Vázquez,8530,4803.65,714.2517888,14047.90179,8530,4803.65,714.2517888,14047.90179,14047.90179,1132.098211,6107.783386,2.128469968,40000,2000,2000,1,1.40064421,2.02025,1,PREPARACIÓN DEL TERRENO,2350,0,2350,0,2,SIEMBRA,1876.6,0,1876.6,0,3,FERTILIZACIÓN,1900,0,1900,1,4,LABORES CULTURALES,410,0,410,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",4536.55,0,4536.55,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",1453,0,1453,0,0,,0,0,0,0,9,DIVERSOS,807.5,0,807.5,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,5,CHIAPAS,90,FRAILESCA-MC,120,MAÍZ,3,Autorizado,01/05/20,15/06/20,02/12/20,28/02/21,4,9,7,3500,5100,4300,30100,0,21992.5,0,0.1,0.2,0.18,0.18,28/02/21,01/05/20,01/07/20,01/08/20,01/02/21,,,,,Fernando Andrade Ramírez,Isidro Omar Salazar Contreras,19780,2212.5,2539.240875,24531.74088,17580,4412.5,2257.103,24249.603,24249.603,5850.397,3464.229,5.639442558,100000,10000,10000,13,4.613279767,5.114534884,1,PREPARACIÓN DEL TERRENO,2400,0,2400,0,2,SIEMBRA,3600,0,3600,0,3,FERTILIZACIÓN,6375,0,6375,0,4,LABORES CULTURALES,1950,0,1950,13,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2567.5,0,2567.5,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",4300,0,4300,0,0,,0,0,0,0,9,DIVERSOS,800,0,800,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,6,CHIHUAHUA,143,AGENCIAS DE CHIHUAHUA,112,FRIJOL,3,Autorizado,15/06/20,20/07/20,15/10/20,20/11/20,0.68,1.27,0.93,8127,15239,11041,10268.13,0,8403.248587,639.52,0.1,0.2,0.1257,0.1257,31/01/21,20/06/20,20/08/20,20/09/20,20/10/20,,,,,Victor Manuel Ortiz Núñez,Armando Caldera Orozco,7550,853.2485867,573.9967729,9616.76536,6710,1693.248587,510.2193537,9552.98794,9552.98794,715.1420597,10272.03004,0.865228507,100000,5000,5000,1.5875,0.653946142,0.761094882,1,PREPARACIÓN DEL TERRENO,1241.592747,306.4533333,1548.04608,0.35,2,SIEMBRA,2986.766187,167.5333333,3154.29952,0.0875,3,FERTILIZACIÓN,1534.437547,72.8,1607.237547,0.1,4,LABORES CULTURALES,315,0,315,1,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",819.4521067,92.73333333,912.18544,0.05,7,"COSECHA, SELECCIÓN Y EMPAQUE",697.5,0,697.5,0,0,,0,0,0,0,9,DIVERSOS,808.5,0,808.5,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,10,DURANGO,142,AGENCIAS DE DURANGO,112,FRIJOL,3,Autorizado,15/07/20,31/07/20,15/11/20,15/12/20,0.6,1.2,0.8,12000,16000,14500,11600,0,7460.4,0,0.1,0.2,0.2,0.2,26/02/21,01/04/20,15/11/20,,,,,,,Luis Alberto Molina Morales,Ana Paulina Marín Castillo,6710,750.4,1234.6962,8695.0962,5960,1500.4,1097.507733,8557.907733,8557.907733,3042.092267,10697.38467,0.590200533,50000,2320,2320,1,0.486724671,0.514510345,1,PREPARACIÓN DEL TERRENO,1300,0,1300,0,2,SIEMBRA,760,0,760,0,3,FERTILIZACIÓN,900.4,0,900.4,0,4,LABORES CULTURALES,1000,0,1000,1,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1650,0,1650,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",950,0,950,0,0,,0,0,0,0,9,DIVERSOS,900,0,900,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,12,GUERRERO,61,TIERRA CALIENTE Y NORTE DE GUERRERO,120,MAÍZ,3,Autorizado,15/06/20,15/07/20,15/11/20,15/12/20,6,8,7,5000,5700,5300,37100,0,20051,0,0.1,0.2,0.18,0.16,30/12/20,01/05/20,01/12/20,,,,,,,Rubén Gómez Peñaloza,Juan Carlos Cruz Saucedo,18040,2011,2192.57685,22243.57685,16040,4011,1732.4064,21783.4064,21783.4064,15316.5936,3111.9152,4.110076679,100000,5000,3000,9,3.353284226,3.783207547,1,PREPARACIÓN DEL TERRENO,2400,0,2400,0,2,SIEMBRA,3860,0,3860,2,3,FERTILIZACIÓN,5180,0,5180,3,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",2750,0,2750,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",2325,0,2325,0,0,,0,0,0,0,9,DIVERSOS,3536,0,3536,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,12,GUERRERO,112,MONTAÑA DE GUERRERO,120,MAÍZ,3,Autorizado,01/05/20,08/05/20,06/11/20,04/12/20,6,7.5,7,4800,5700,5400,37800,0,21195,0,0.1,0.2,0.22,0.18,30/12/20,01/05/20,01/12/20,,,,,,,Moisés Ulises Luna Solano,Francisco Xavier García Osio,19070,2125,2832.71175,24027.71175,16950,4245,2060.154,23255.154,23255.154,14544.846,3322.164857,4.30651,200000,5000,3000,14,3.520398889,3.925,1,PREPARACIÓN DEL TERRENO,2400,0,2400,0,2,SIEMBRA,3860,0,3860,2,3,FERTILIZACIÓN,7900,0,7900,4,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1900,0,1900,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",3895,0,3895,4,0,,0,0,0,0,9,DIVERSOS,1240,0,1240,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,12,GUERRERO,127,COSTA DE GUERRERO,120,MAÍZ,3,Autorizado,15/06/20,15/07/20,15/11/20,15/12/20,6,8,7,4000,5400,4800,33600,0,17395,0,0.2,0.2,0.18,0.18,31/12/20,01/06/20,01/12/20,,,,,,,Teodoro Guzmán Guzmán,María Clarisa Joaquín Martínez,13910,3485,1482.054,18877.054,13910,3485,1482.054,18877.054,18877.054,14722.946,2696.722,3.932719583,70000,2000,2000,9,3.206677917,3.623958333,1,PREPARACIÓN DEL TERRENO,2400,0,2400,0,2,SIEMBRA,3660,0,3660,1,3,FERTILIZACIÓN,4290,0,4290,4,0,,0,0,0,0,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1480,0,1480,4,7,"COSECHA, SELECCIÓN Y EMPAQUE",1800,0,1800,0,8,COMERCIALIZACIÓN,525,0,525,0,9,DIVERSOS,3240,0,3240,0
2020,1,PRIMAVERA-VERANO,PV,PV - 2020,3,TEMPORAL-MEJORADA-FERTILIZADA,1,TRADICIONAL,13,HIDALGO,65,ALTIPLANO DE HIDALGO,135,CEBADA ALTA PRODUCTIVIDAD,3,Autorizado,01/05/20,30/06/20,01/10/20,30/11/20,3.5,5.5,4.5,4990,5300,5200,23400,0,11264.77,5567.2,0.2,0.2,0.16,0.16,28/02/21,01/04/20,01/08/20,01/08/20,01/11/20,,,,,Silvia Janeth Borjorquez Noriega,Juan Rosales Narváez,9000,2264.77,1244.825625,18076.79562,9000,2264.77,1244.825625,18076.79562,18076.79562,5323.204375,4017.065694,3.476306851,750000,4800,4800,5,1.970158774,2.166301923,1,PREPARACIÓN DEL TERRENO,0,3700,3700,0,2,SIEMBRA,1650,0,1650,2,3,FERTILIZACIÓN,2169,0,2169,0,4,LABORES CULTURALES,450,0,450,3,0,,0,0,0,0,6,"CONTROL DE PLAGAS, MALEZAS Y ENFERMEDADES",1113,0,1113,0,7,"COSECHA, SELECCIÓN Y EMPAQUE",2049.97,0,2049.97,0,0,,0,0,0,0,9,DIVERSOS,3832.8,1867.2,5700,0
